Order ID,Customer ID,Customer Name,Status,Free On Board,Ship Via,Customer Id,Customer Po Ref,Free On Board,Desired Ship Date
,RADLAB,RADIATOR LABS,,"UNION, N.J.",TBD,RADLAB,2017012700019,"UNION, N.J.",ASAP
,RADLAB,RADIATOR LABS,,"UNION, N.J.",TBD,RADLAB,2017012700000,"UNION, N.J.",ASAP
,RADLAB,RADIATOR LABS,,"UNION, N.J.",TBD,RADLAB,2017012700002,"UNION, N.J.",ASAP
,RADLAB,RADIATOR LABS,,"UNION, N.J.",TBD,RADLAB,2017012700004,"UNION, N.J.",ASAP
,RADLAB,RADIATOR LABS,,"UNION, N.J.",TBD,RADLAB,2017012700020,"UNION, N.J.",ASAP
